DATE,USPBS
2002-03-01,16057
2002-04-01,16058
2002-05-01,16067
2002-06-01,16058
2002-07-01,15984
2002-08-01,16012
2002-09-01,15988
2002-10-01,16007
2002-11-01,15964
2002-12-01,15900
2003-01-01,15967
2003-02-01,15994
2003-03-01,15924
2003-04-01,15927
2003-05-01,15977
2003-06-01,15992
2003-07-01,16030
2003-08-01,16024
2003-09-01,16079
2003-10-01,16102
2003-11-01,16139
2003-12-01,16167
2004-01-01,16196
2004-02-01,16209
2004-03-01,16236
2004-04-01,16346
2004-05-01,16419
2004-06-01,16451
2004-07-01,16491
2004-08-01,16489
2004-09-01,16513
2004-10-01,16632
2004-11-01,16613
2004-12-01,16629
2005-01-01,16683
2005-02-01,16766
2005-03-01,16795
2005-04-01,16855
2005-05-01,16877
2005-06-01,16965
2005-07-01,17032
2005-08-01,17091
2005-09-01,17163
2005-10-01,17183
2005-11-01,17262
2005-12-01,17296
2006-01-01,17348
2006-02-01,17408
2006-03-01,17495
2006-04-01,17515
2006-05-01,17572
2006-06-01,17642
2006-07-01,17682
2006-08-01,17728
2006-09-01,17718
2006-10-01,17722
2006-11-01,17790
2006-12-01,17823
2007-01-01,17887
2007-02-01,17918
2007-03-01,17949
2007-04-01,17966
2007-05-01,17999
2007-06-01,18011
2007-07-01,18015
2007-08-01,18025
2007-09-01,18022
2007-10-01,18058
2007-11-01,18059
2007-12-01,18104
2008-01-01,18094
2008-02-01,18046
2008-03-01,18005
2008-04-01,17996
2008-05-01,17936
2008-06-01,17896
2008-07-01,17835
2008-08-01,17771
2008-09-01,17700
2008-10-01,17590
2008-11-01,17420
2008-12-01,17287
2009-01-01,17132
2009-02-01,16936
2009-03-01,16787
2009-04-01,16652
2009-05-01,16602
2009-06-01,16497
2009-07-01,16474
2009-08-01,16465
2009-09-01,16469
2009-10-01,16488
2009-11-01,16548
2009-12-01,16551
2010-01-01,16572
2010-02-01,16591
2010-03-01,16574
2010-04-01,16666
2010-05-01,16702
2010-06-01,16764
2010-07-01,16773
2010-08-01,16833
2010-09-01,16850
2010-10-01,16917
2010-11-01,17011
2010-12-01,17080
2011-01-01,17091
2011-02-01,17170
2011-03-01,17235
2011-04-01,17297
2011-05-01,17348
2011-06-01,17363
2011-07-01,17371
2011-08-01,17446
2011-09-01,17510
2011-10-01,17556
2011-11-01,17591
2011-12-01,17658
2012-01-01,17745
2012-02-01,17816
2012-03-01,17848
2012-04-01,17897
2012-05-01,17922
2012-06-01,17977
2012-07-01,18020
2012-08-01,18052
2012-09-01,18066
2012-10-01,18139
2012-11-01,18193
2012-12-01,18230
2013-01-01,18273
2013-02-01,18367
2013-03-01,18421
2013-04-01,18483
2013-05-01,18537
2013-06-01,18582
2013-07-01,18629
2013-08-01,18655
2013-09-01,18683
2013-10-01,18732
2013-11-01,18801
2013-12-01,18790
2014-01-01,18837
2014-02-01,18899
2014-03-01,18944
2014-04-01,19002
2014-05-01,19044
2014-06-01,19105
2014-07-01,19142
2014-08-01,19201
2014-09-01,19257
2014-10-01,19285
2014-11-01,19339
2014-12-01,19418
2015-01-01,19441
2015-02-01,19487
2015-03-01,19511
2015-04-01,19557
2015-05-01,19636
2015-06-01,19691
2015-07-01,19727
2015-08-01,19759
2015-09-01,19776
2015-10-01,19850
2015-11-01,19884
2015-12-01,19962
2016-01-01,19950
2016-02-01,19967
2016-03-01,19996
